,Altura (m),T (ºC),Td (ºC)
0,35831.0,-31.50000540129838,
1,31044.0,-42.96000514514742,
2,26458.0,-51.270004959404446,
3,23853.0,-56.260004847869254,
4,20661.0,-63.34000468961892,-90.20000408925114
5,18617.0,-68.15000458210704,-87.46000415049491
6,16493.0,-70.58000452779231,-84.90000420771537
7,14053.0,-63.63000468313692,-81.41000428572295
8,12255.0,-56.030004853010155,-76.97000438496468
9,10806.0,-46.67000506222246,-73.19000446945427
10,9572.0,-37.520005266740895,-68.62000457160173
11,7522.0,-22.100005611404754,-56.51000484228132
12,5841.0,-9.870005884766556,-43.400005135312654
13,4147.0,0.9799938727170456,-27.380005493387557
14,3162.0,6.7499937437474955,-17.490005714446283
15,2265.0,11.709993632882856,-6.940005950257159
16,1543.0,14.929993560910248,0.659993879869603
17,870.0,17.239993509277724,4.3099937982857455
18,,,
19,,,
