,Altura (m),T (ºC),Td (ºC)
0,35633.0,-29.150005453824974,
1,30805.0,-41.03000518828628,
2,26183.0,-49.78000499270854,
3,23562.0,-55.220004871115066,
4,20363.0,-63.49000468626616,-90.25000408813355
5,18330.0,-70.44000453092156,-87.26000415496526
6,16237.0,-73.99000445157287,-84.07000422626732
7,13834.0,-66.10000462792812,-78.39000435322521
8,12045.0,-55.600004862621404,-71.11000451594589
9,10587.0,-44.32000511474905,-63.55000468492506
10,9338.0,-34.190005341172196,-56.27000484764574
11,7257.0,-18.430005693435646,-43.14000514112411
12,5552.0,-6.480005960538961,-34.05000534430144
13,3839.0,3.6099938139319647,-23.530005579441763
14,2846.0,8.209993711113952,-14.500005781277991
15,1948.0,11.289993642270588,-3.050006037205435
16,1227.0,12.869993606954836,6.399993751570605
17,558.0,15.659993544593476,10.889993651211284
18,284.0,17.319993507489585,12.439993616566085
19,,,
