,Altura (m),T (ºC),Td (ºC)
0,35705.0,-33.77000535055993,
1,30954.0,-43.790005126595474,
2,26381.0,-51.850004946440436,
3,23782.0,-56.78000483624635,
4,20601.0,-64.38000466637311,-90.31000408679245
5,18573.0,-70.35000453293321,-87.5800041478127
6,16473.0,-72.97000447437165,-84.74000421129165
7,14059.0,-65.60000463910399,-78.5700043492019
8,12276.0,-57.420004821941234,-69.86000454388557
9,10833.0,-47.470005044341065,-61.87000472247598
10,9602.0,-37.670005263388134,-54.85000487938521
11,7549.0,-21.250005630403734,-43.82000512592492
12,5860.0,-8.690005911141611,-33.85000534877179
13,4161.0,1.3699938639998663,-18.500005691871024
14,3175.0,6.219993755593919,-8.120005923882104
15,2281.0,9.759993676468753,2.719993833825015
16,1562.0,12.739993609860562,9.319993686303519
17,892.0,16.05999353565278,12.76999360919001
18,617.0,17.669993499666475,13.879993584379577
19,,,
